Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.587,0,Strict Comparison,visual_narrator
Persona Recall,0.587,0,Strict Comparison,visual_narrator
Persona F-Measure,0.587,0,Strict Comparison,visual_narrator
Entity Precision,0.415,0,Strict Comparison,visual_narrator
Entity Recall,0.109,0,Strict Comparison,visual_narrator
Entity F-Measure,0.173,0,Strict Comparison,visual_narrator
Action Precision,0.905,0,Strict Comparison,visual_narrator
Action Recall,0.393,0,Strict Comparison,visual_narrator
Action F-Measure,0.548,0,Strict Comparison,visual_narrator
Persona Precision,0.587,0,Inclusion Comparison,visual_narrator
Persona Recall,0.587,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.587,0,Inclusion Comparison,visual_narrator
Entity Precision,0.428,0,Inclusion Comparison,visual_narrator
Entity Recall,0.113,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.178,0,Inclusion Comparison,visual_narrator
Action Precision,0.905,0,Inclusion Comparison,visual_narrator
Action Recall,0.393,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.548,0,Inclusion Comparison,visual_narrator
Persona Precision,0.587,0,Relaxed Comparison,visual_narrator
Persona Recall,0.587,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.587,0,Relaxed Comparison,visual_narrator
Entity Precision,0.607,0,Relaxed Comparison,visual_narrator
Entity Recall,0.16,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.253,0,Relaxed Comparison,visual_narrator
Action Precision,0.975,0,Relaxed Comparison,visual_narrator
Action Recall,0.423,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.59,0,Relaxed Comparison,visual_narrator
