Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.991,0.02,Strict Comparison,crf
Persona Recall,0.998,0.011,Strict Comparison,crf
Persona F-Measure,0.994,0.014,Strict Comparison,crf
Entity Precision,0.712,0.134,Strict Comparison,crf
Entity Recall,0.632,0.139,Strict Comparison,crf
Entity F-Measure,0.665,0.127,Strict Comparison,crf
Action Precision,0.914,0.073,Strict Comparison,crf
Action Recall,0.884,0.093,Strict Comparison,crf
Action F-Measure,0.898,0.079,Strict Comparison,crf
Persona Precision,0.991,0.02,Inclusion Comparison,crf
Persona Recall,0.998,0.011,Inclusion Comparison,crf
Persona F-Measure,0.994,0.014,Inclusion Comparison,crf
Entity Precision,0.714,0.132,Inclusion Comparison,crf
Entity Recall,0.633,0.136,Inclusion Comparison,crf
Entity F-Measure,0.667,0.124,Inclusion Comparison,crf
Action Precision,0.914,0.073,Inclusion Comparison,crf
Action Recall,0.884,0.093,Inclusion Comparison,crf
Action F-Measure,0.898,0.079,Inclusion Comparison,crf
Persona Precision,0.991,0.02,Relaxed Comparison,crf
Persona Recall,0.998,0.011,Relaxed Comparison,crf
Persona F-Measure,0.994,0.014,Relaxed Comparison,crf
Entity Precision,0.755,0.124,Relaxed Comparison,crf
Entity Recall,0.67,0.13,Relaxed Comparison,crf
Entity F-Measure,0.705,0.115,Relaxed Comparison,crf
Action Precision,0.949,0.059,Relaxed Comparison,crf
Action Recall,0.917,0.081,Relaxed Comparison,crf
Action F-Measure,0.932,0.065,Relaxed Comparison,crf
