Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.859,0.208,Strict Comparison,ecmfa_vn
Persona Recall,0.864,0.208,Strict Comparison,ecmfa_vn
Persona F-Measure,0.861,0.208,Strict Comparison,ecmfa_vn
Entity Precision,0.468,0.105,Strict Comparison,ecmfa_vn
Entity Recall,0.291,0.104,Strict Comparison,ecmfa_vn
Entity F-Measure,0.352,0.096,Strict Comparison,ecmfa_vn
Action Precision,0.072,0.078,Strict Comparison,ecmfa_vn
Action Recall,0.053,0.053,Strict Comparison,ecmfa_vn
Action F-Measure,0.059,0.059,Strict Comparison,ecmfa_vn
Persona Precision,0.875,0.193,Inclusion Comparison,ecmfa_vn
Persona Recall,0.879,0.193,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.877,0.193,Inclusion Comparison,ecmfa_vn
Entity Precision,0.634,0.108,Inclusion Comparison,ecmfa_vn
Entity Recall,0.399,0.137,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.481,0.12,Inclusion Comparison,ecmfa_vn
Action Precision,0.073,0.079,Inclusion Comparison,ecmfa_vn
Action Recall,0.054,0.053,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.06,0.06,Inclusion Comparison,ecmfa_vn
Persona Precision,0.924,0.111,Relaxed Comparison,ecmfa_vn
Persona Recall,0.929,0.11,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.926,0.11,Relaxed Comparison,ecmfa_vn
Entity Precision,0.538,0.119,Relaxed Comparison,ecmfa_vn
Entity Recall,0.335,0.118,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.405,0.108,Relaxed Comparison,ecmfa_vn
Action Precision,0.083,0.08,Relaxed Comparison,ecmfa_vn
Action Recall,0.062,0.06,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.069,0.064,Relaxed Comparison,ecmfa_vn
