Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.859,0.208,Strict Comparison,ecmfa_vn
Persona Recall,0.864,0.208,Strict Comparison,ecmfa_vn
Persona F-Measure,0.861,0.208,Strict Comparison,ecmfa_vn
Entity Precision,0.195,0.089,Strict Comparison,ecmfa_vn
Entity Recall,0.383,0.137,Strict Comparison,ecmfa_vn
Entity F-Measure,0.255,0.103,Strict Comparison,ecmfa_vn
Action Precision,0.065,0.068,Strict Comparison,ecmfa_vn
Action Recall,0.096,0.096,Strict Comparison,ecmfa_vn
Action F-Measure,0.077,0.079,Strict Comparison,ecmfa_vn
Persona Precision,0.875,0.193,Inclusion Comparison,ecmfa_vn
Persona Recall,0.879,0.193,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.877,0.193,Inclusion Comparison,ecmfa_vn
Entity Precision,0.274,0.117,Inclusion Comparison,ecmfa_vn
Entity Recall,0.538,0.14,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.359,0.125,Inclusion Comparison,ecmfa_vn
Action Precision,0.065,0.068,Inclusion Comparison,ecmfa_vn
Action Recall,0.096,0.096,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.077,0.079,Inclusion Comparison,ecmfa_vn
Persona Precision,0.924,0.111,Relaxed Comparison,ecmfa_vn
Persona Recall,0.929,0.11,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.926,0.11,Relaxed Comparison,ecmfa_vn
Entity Precision,0.227,0.104,Relaxed Comparison,ecmfa_vn
Entity Recall,0.446,0.161,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.297,0.121,Relaxed Comparison,ecmfa_vn
Action Precision,0.077,0.074,Relaxed Comparison,ecmfa_vn
Action Recall,0.114,0.106,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.091,0.087,Relaxed Comparison,ecmfa_vn
