Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.997,0.011,Strict Comparison,simple
Persona Recall,0.997,0.011,Strict Comparison,simple
Persona F-Measure,0.997,0.011,Strict Comparison,simple
Entity Precision,0.224,0.043,Strict Comparison,simple
Entity Recall,0.413,0.078,Strict Comparison,simple
Entity F-Measure,0.289,0.052,Strict Comparison,simple
Action Precision,0.283,0.041,Strict Comparison,simple
Action Recall,0.802,0.104,Strict Comparison,simple
Action F-Measure,0.418,0.054,Strict Comparison,simple
Persona Precision,0.997,0.011,Inclusion Comparison,simple
Persona Recall,0.997,0.011,Inclusion Comparison,simple
Persona F-Measure,0.997,0.011,Inclusion Comparison,simple
Entity Precision,0.226,0.043,Inclusion Comparison,simple
Entity Recall,0.418,0.078,Inclusion Comparison,simple
Entity F-Measure,0.292,0.051,Inclusion Comparison,simple
Action Precision,0.283,0.041,Inclusion Comparison,simple
Action Recall,0.802,0.104,Inclusion Comparison,simple
Action F-Measure,0.418,0.054,Inclusion Comparison,simple
Persona Precision,0.997,0.011,Relaxed Comparison,simple
Persona Recall,0.997,0.011,Relaxed Comparison,simple
Persona F-Measure,0.997,0.011,Relaxed Comparison,simple
Entity Precision,0.304,0.056,Relaxed Comparison,simple
Entity Recall,0.56,0.095,Relaxed Comparison,simple
Entity F-Measure,0.392,0.064,Relaxed Comparison,simple
Action Precision,0.311,0.038,Relaxed Comparison,simple
Action Recall,0.879,0.084,Relaxed Comparison,simple
Action F-Measure,0.458,0.048,Relaxed Comparison,simple
