Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.999,0.002,Strict Comparison,crf
Persona Recall,0.999,0.002,Strict Comparison,crf
Persona F-Measure,0.999,0.002,Strict Comparison,crf
Entity Precision,0.833,0.042,Strict Comparison,crf
Entity Recall,0.833,0.063,Strict Comparison,crf
Entity F-Measure,0.833,0.052,Strict Comparison,crf
Action Precision,0.826,0.067,Strict Comparison,crf
Action Recall,0.815,0.052,Strict Comparison,crf
Action F-Measure,0.82,0.058,Strict Comparison,crf
Persona Precision,0.999,0.002,Inclusion Comparison,crf
Persona Recall,0.999,0.002,Inclusion Comparison,crf
Persona F-Measure,0.999,0.002,Inclusion Comparison,crf
Entity Precision,0.837,0.044,Inclusion Comparison,crf
Entity Recall,0.838,0.064,Inclusion Comparison,crf
Entity F-Measure,0.837,0.054,Inclusion Comparison,crf
Action Precision,0.826,0.067,Inclusion Comparison,crf
Action Recall,0.815,0.052,Inclusion Comparison,crf
Action F-Measure,0.82,0.058,Inclusion Comparison,crf
Persona Precision,0.999,0.002,Relaxed Comparison,crf
Persona Recall,0.999,0.002,Relaxed Comparison,crf
Persona F-Measure,0.999,0.002,Relaxed Comparison,crf
Entity Precision,0.868,0.035,Relaxed Comparison,crf
Entity Recall,0.868,0.055,Relaxed Comparison,crf
Entity F-Measure,0.868,0.045,Relaxed Comparison,crf
Action Precision,0.871,0.058,Relaxed Comparison,crf
Action Recall,0.86,0.044,Relaxed Comparison,crf
Action F-Measure,0.865,0.049,Relaxed Comparison,crf
