Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.999,0.002,Strict Comparison,crf
Persona Recall,0.999,0.002,Strict Comparison,crf
Persona F-Measure,0.999,0.002,Strict Comparison,crf
Entity Precision,0.792,0.145,Strict Comparison,crf
Entity Recall,0.674,0.147,Strict Comparison,crf
Entity F-Measure,0.726,0.143,Strict Comparison,crf
Action Precision,0.901,0.045,Strict Comparison,crf
Action Recall,0.887,0.075,Strict Comparison,crf
Action F-Measure,0.894,0.059,Strict Comparison,crf
Persona Precision,0.999,0.002,Inclusion Comparison,crf
Persona Recall,0.999,0.002,Inclusion Comparison,crf
Persona F-Measure,0.999,0.002,Inclusion Comparison,crf
Entity Precision,0.792,0.145,Inclusion Comparison,crf
Entity Recall,0.674,0.147,Inclusion Comparison,crf
Entity F-Measure,0.726,0.143,Inclusion Comparison,crf
Action Precision,0.901,0.045,Inclusion Comparison,crf
Action Recall,0.887,0.075,Inclusion Comparison,crf
Action F-Measure,0.894,0.059,Inclusion Comparison,crf
Persona Precision,0.999,0.002,Relaxed Comparison,crf
Persona Recall,0.999,0.002,Relaxed Comparison,crf
Persona F-Measure,0.999,0.002,Relaxed Comparison,crf
Entity Precision,0.815,0.138,Relaxed Comparison,crf
Entity Recall,0.694,0.144,Relaxed Comparison,crf
Entity F-Measure,0.748,0.138,Relaxed Comparison,crf
Action Precision,0.934,0.029,Relaxed Comparison,crf
Action Recall,0.919,0.068,Relaxed Comparison,crf
Action F-Measure,0.926,0.048,Relaxed Comparison,crf
