Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.998,0,Strict Comparison,crf
Persona Recall,0.998,0,Strict Comparison,crf
Persona F-Measure,0.998,0,Strict Comparison,crf
Entity Precision,0.809,0,Strict Comparison,crf
Entity Recall,0.721,0,Strict Comparison,crf
Entity F-Measure,0.762,0,Strict Comparison,crf
Action Precision,0.907,0,Strict Comparison,crf
Action Recall,0.918,0,Strict Comparison,crf
Action F-Measure,0.912,0,Strict Comparison,crf
Persona Precision,0.998,0,Inclusion Comparison,crf
Persona Recall,0.998,0,Inclusion Comparison,crf
Persona F-Measure,0.998,0,Inclusion Comparison,crf
Entity Precision,0.813,0,Inclusion Comparison,crf
Entity Recall,0.725,0,Inclusion Comparison,crf
Entity F-Measure,0.766,0,Inclusion Comparison,crf
Action Precision,0.907,0,Inclusion Comparison,crf
Action Recall,0.918,0,Inclusion Comparison,crf
Action F-Measure,0.912,0,Inclusion Comparison,crf
Persona Precision,0.998,0,Relaxed Comparison,crf
Persona Recall,0.998,0,Relaxed Comparison,crf
Persona F-Measure,0.998,0,Relaxed Comparison,crf
Entity Precision,0.832,0,Relaxed Comparison,crf
Entity Recall,0.741,0,Relaxed Comparison,crf
Entity F-Measure,0.784,0,Relaxed Comparison,crf
Action Precision,0.934,0,Relaxed Comparison,crf
Action Recall,0.944,0,Relaxed Comparison,crf
Action F-Measure,0.939,0,Relaxed Comparison,crf
