Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.996,0,Strict Comparison,simple
Persona Recall,0.996,0,Strict Comparison,simple
Persona F-Measure,0.996,0,Strict Comparison,simple
Entity Precision,0.228,0,Strict Comparison,simple
Entity Recall,0.417,0,Strict Comparison,simple
Entity F-Measure,0.295,0,Strict Comparison,simple
Action Precision,0.282,0,Strict Comparison,simple
Action Recall,0.793,0,Strict Comparison,simple
Action F-Measure,0.416,0,Strict Comparison,simple
Persona Precision,0.996,0,Inclusion Comparison,simple
Persona Recall,0.996,0,Inclusion Comparison,simple
Persona F-Measure,0.996,0,Inclusion Comparison,simple
Entity Precision,0.23,0,Inclusion Comparison,simple
Entity Recall,0.421,0,Inclusion Comparison,simple
Entity F-Measure,0.298,0,Inclusion Comparison,simple
Action Precision,0.282,0,Inclusion Comparison,simple
Action Recall,0.793,0,Inclusion Comparison,simple
Action F-Measure,0.416,0,Inclusion Comparison,simple
Persona Precision,0.996,0,Relaxed Comparison,simple
Persona Recall,0.996,0,Relaxed Comparison,simple
Persona F-Measure,0.996,0,Relaxed Comparison,simple
Entity Precision,0.311,0,Relaxed Comparison,simple
Entity Recall,0.567,0,Relaxed Comparison,simple
Entity F-Measure,0.401,0,Relaxed Comparison,simple
Action Precision,0.31,0,Relaxed Comparison,simple
Action Recall,0.87,0,Relaxed Comparison,simple
Action F-Measure,0.457,0,Relaxed Comparison,simple
