Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.581,0.339,Strict Comparison,visual_narrator
Persona Recall,0.581,0.339,Strict Comparison,visual_narrator
Persona F-Measure,0.581,0.339,Strict Comparison,visual_narrator
Entity Precision,0.407,0.149,Strict Comparison,visual_narrator
Entity Recall,0.11,0.045,Strict Comparison,visual_narrator
Entity F-Measure,0.173,0.067,Strict Comparison,visual_narrator
Action Precision,0.91,0.079,Strict Comparison,visual_narrator
Action Recall,0.412,0.12,Strict Comparison,visual_narrator
Action F-Measure,0.561,0.111,Strict Comparison,visual_narrator
Persona Precision,0.581,0.339,Inclusion Comparison,visual_narrator
Persona Recall,0.581,0.339,Inclusion Comparison,visual_narrator
Persona F-Measure,0.581,0.339,Inclusion Comparison,visual_narrator
Entity Precision,0.421,0.151,Inclusion Comparison,visual_narrator
Entity Recall,0.113,0.044,Inclusion Comparison,visual_narrator
Entity F-Measure,0.178,0.066,Inclusion Comparison,visual_narrator
Action Precision,0.91,0.079,Inclusion Comparison,visual_narrator
Action Recall,0.412,0.12,Inclusion Comparison,visual_narrator
Action F-Measure,0.561,0.111,Inclusion Comparison,visual_narrator
Persona Precision,0.581,0.339,Relaxed Comparison,visual_narrator
Persona Recall,0.581,0.339,Relaxed Comparison,visual_narrator
Persona F-Measure,0.581,0.339,Relaxed Comparison,visual_narrator
Entity Precision,0.587,0.182,Relaxed Comparison,visual_narrator
Entity Recall,0.159,0.054,Relaxed Comparison,visual_narrator
Entity F-Measure,0.248,0.081,Relaxed Comparison,visual_narrator
Action Precision,0.977,0.041,Relaxed Comparison,visual_narrator
Action Recall,0.441,0.114,Relaxed Comparison,visual_narrator
Action F-Measure,0.601,0.1,Relaxed Comparison,visual_narrator
