Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.994,0.01,Strict Comparison,crf
Persona Recall,0.995,0.01,Strict Comparison,crf
Persona F-Measure,0.994,0.01,Strict Comparison,crf
Entity Precision,0.766,0.043,Strict Comparison,crf
Entity Recall,0.771,0.068,Strict Comparison,crf
Entity F-Measure,0.768,0.055,Strict Comparison,crf
Action Precision,0.807,0.067,Strict Comparison,crf
Action Recall,0.81,0.041,Strict Comparison,crf
Action F-Measure,0.808,0.05,Strict Comparison,crf
Persona Precision,0.994,0.01,Inclusion Comparison,crf
Persona Recall,0.995,0.01,Inclusion Comparison,crf
Persona F-Measure,0.994,0.01,Inclusion Comparison,crf
Entity Precision,0.774,0.04,Inclusion Comparison,crf
Entity Recall,0.78,0.066,Inclusion Comparison,crf
Entity F-Measure,0.777,0.053,Inclusion Comparison,crf
Action Precision,0.807,0.067,Inclusion Comparison,crf
Action Recall,0.81,0.041,Inclusion Comparison,crf
Action F-Measure,0.808,0.05,Inclusion Comparison,crf
Persona Precision,0.994,0.01,Relaxed Comparison,crf
Persona Recall,0.995,0.01,Relaxed Comparison,crf
Persona F-Measure,0.994,0.01,Relaxed Comparison,crf
Entity Precision,0.821,0.031,Relaxed Comparison,crf
Entity Recall,0.826,0.06,Relaxed Comparison,crf
Entity F-Measure,0.823,0.045,Relaxed Comparison,crf
Action Precision,0.846,0.061,Relaxed Comparison,crf
Action Recall,0.849,0.035,Relaxed Comparison,crf
Action F-Measure,0.847,0.043,Relaxed Comparison,crf
