Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.994,0.01,Strict Comparison,crf
Persona Recall,0.995,0.01,Strict Comparison,crf
Persona F-Measure,0.994,0.01,Strict Comparison,crf
Entity Precision,0.729,0.17,Strict Comparison,crf
Entity Recall,0.619,0.149,Strict Comparison,crf
Entity F-Measure,0.668,0.155,Strict Comparison,crf
Action Precision,0.897,0.046,Strict Comparison,crf
Action Recall,0.893,0.068,Strict Comparison,crf
Action F-Measure,0.895,0.055,Strict Comparison,crf
Persona Precision,0.994,0.01,Inclusion Comparison,crf
Persona Recall,0.995,0.01,Inclusion Comparison,crf
Persona F-Measure,0.994,0.01,Inclusion Comparison,crf
Entity Precision,0.74,0.169,Inclusion Comparison,crf
Entity Recall,0.628,0.144,Inclusion Comparison,crf
Entity F-Measure,0.678,0.15,Inclusion Comparison,crf
Action Precision,0.897,0.046,Inclusion Comparison,crf
Action Recall,0.893,0.068,Inclusion Comparison,crf
Action F-Measure,0.895,0.055,Inclusion Comparison,crf
Persona Precision,0.994,0.01,Relaxed Comparison,crf
Persona Recall,0.995,0.01,Relaxed Comparison,crf
Persona F-Measure,0.994,0.01,Relaxed Comparison,crf
Entity Precision,0.774,0.152,Relaxed Comparison,crf
Entity Recall,0.659,0.146,Relaxed Comparison,crf
Entity F-Measure,0.71,0.145,Relaxed Comparison,crf
Action Precision,0.929,0.021,Relaxed Comparison,crf
Action Recall,0.924,0.054,Relaxed Comparison,crf
Action F-Measure,0.926,0.037,Relaxed Comparison,crf
