Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.998,0.009,Strict Comparison,crf
Persona Recall,0.998,0.009,Strict Comparison,crf
Persona F-Measure,0.998,0.009,Strict Comparison,crf
Entity Precision,0.75,0.126,Strict Comparison,crf
Entity Recall,0.665,0.126,Strict Comparison,crf
Entity F-Measure,0.7,0.111,Strict Comparison,crf
Action Precision,0.908,0.086,Strict Comparison,crf
Action Recall,0.877,0.101,Strict Comparison,crf
Action F-Measure,0.891,0.089,Strict Comparison,crf
Persona Precision,0.998,0.009,Inclusion Comparison,crf
Persona Recall,0.998,0.009,Inclusion Comparison,crf
Persona F-Measure,0.998,0.009,Inclusion Comparison,crf
Entity Precision,0.756,0.125,Inclusion Comparison,crf
Entity Recall,0.67,0.121,Inclusion Comparison,crf
Entity F-Measure,0.706,0.107,Inclusion Comparison,crf
Action Precision,0.908,0.086,Inclusion Comparison,crf
Action Recall,0.877,0.101,Inclusion Comparison,crf
Action F-Measure,0.891,0.089,Inclusion Comparison,crf
Persona Precision,0.998,0.009,Relaxed Comparison,crf
Persona Recall,0.998,0.009,Relaxed Comparison,crf
Persona F-Measure,0.998,0.009,Relaxed Comparison,crf
Entity Precision,0.781,0.114,Relaxed Comparison,crf
Entity Recall,0.694,0.122,Relaxed Comparison,crf
Entity F-Measure,0.73,0.101,Relaxed Comparison,crf
Action Precision,0.943,0.064,Relaxed Comparison,crf
Action Recall,0.911,0.087,Relaxed Comparison,crf
Action F-Measure,0.925,0.07,Relaxed Comparison,crf
