Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.97,0.031,Strict Comparison,chatgpt
Persona Recall,0.993,0.014,Strict Comparison,chatgpt
Persona F-Measure,0.981,0.023,Strict Comparison,chatgpt
Entity Precision,0.836,0.042,Strict Comparison,chatgpt
Entity Recall,0.503,0.036,Strict Comparison,chatgpt
Entity F-Measure,0.628,0.039,Strict Comparison,chatgpt
Action Precision,0.728,0.046,Strict Comparison,chatgpt
Action Recall,0.584,0.048,Strict Comparison,chatgpt
Action F-Measure,0.648,0.045,Strict Comparison,chatgpt
Persona Precision,0.97,0.031,Inclusion Comparison,chatgpt
Persona Recall,0.993,0.014,Inclusion Comparison,chatgpt
Persona F-Measure,0.981,0.023,Inclusion Comparison,chatgpt
Entity Precision,0.846,0.04,Inclusion Comparison,chatgpt
Entity Recall,0.508,0.036,Inclusion Comparison,chatgpt
Entity F-Measure,0.635,0.038,Inclusion Comparison,chatgpt
Action Precision,0.754,0.043,Inclusion Comparison,chatgpt
Action Recall,0.606,0.053,Inclusion Comparison,chatgpt
Action F-Measure,0.671,0.047,Inclusion Comparison,chatgpt
Persona Precision,0.97,0.031,Relaxed Comparison,chatgpt
Persona Recall,0.993,0.014,Relaxed Comparison,chatgpt
Persona F-Measure,0.981,0.023,Relaxed Comparison,chatgpt
Entity Precision,0.902,0.034,Relaxed Comparison,chatgpt
Entity Recall,0.542,0.028,Relaxed Comparison,chatgpt
Entity F-Measure,0.677,0.029,Relaxed Comparison,chatgpt
Action Precision,0.781,0.052,Relaxed Comparison,chatgpt
Action Recall,0.626,0.05,Relaxed Comparison,chatgpt
Action F-Measure,0.695,0.048,Relaxed Comparison,chatgpt
