Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.97,0.031,Strict Comparison,chatgpt
Persona Recall,0.993,0.014,Strict Comparison,chatgpt
Persona F-Measure,0.981,0.023,Strict Comparison,chatgpt
Entity Precision,0.391,0.094,Strict Comparison,chatgpt
Entity Recall,0.58,0.079,Strict Comparison,chatgpt
Entity F-Measure,0.465,0.089,Strict Comparison,chatgpt
Action Precision,0.543,0.086,Strict Comparison,chatgpt
Action Recall,0.743,0.147,Strict Comparison,chatgpt
Action F-Measure,0.627,0.109,Strict Comparison,chatgpt
Persona Precision,0.97,0.031,Inclusion Comparison,chatgpt
Persona Recall,0.993,0.014,Inclusion Comparison,chatgpt
Persona F-Measure,0.981,0.023,Inclusion Comparison,chatgpt
Entity Precision,0.393,0.093,Inclusion Comparison,chatgpt
Entity Recall,0.584,0.079,Inclusion Comparison,chatgpt
Entity F-Measure,0.468,0.088,Inclusion Comparison,chatgpt
Action Precision,0.544,0.086,Inclusion Comparison,chatgpt
Action Recall,0.745,0.148,Inclusion Comparison,chatgpt
Action F-Measure,0.628,0.11,Inclusion Comparison,chatgpt
Persona Precision,0.97,0.031,Relaxed Comparison,chatgpt
Persona Recall,0.993,0.014,Relaxed Comparison,chatgpt
Persona F-Measure,0.981,0.023,Relaxed Comparison,chatgpt
Entity Precision,0.421,0.093,Relaxed Comparison,chatgpt
Entity Recall,0.624,0.069,Relaxed Comparison,chatgpt
Entity F-Measure,0.501,0.085,Relaxed Comparison,chatgpt
Action Precision,0.565,0.087,Relaxed Comparison,chatgpt
Action Recall,0.772,0.15,Relaxed Comparison,chatgpt
Action F-Measure,0.652,0.112,Relaxed Comparison,chatgpt
