Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.862,0.138,Strict Comparison,ecmfa_vn
Persona Recall,0.867,0.14,Strict Comparison,ecmfa_vn
Persona F-Measure,0.865,0.139,Strict Comparison,ecmfa_vn
Entity Precision,0.498,0.053,Strict Comparison,ecmfa_vn
Entity Recall,0.329,0.108,Strict Comparison,ecmfa_vn
Entity F-Measure,0.392,0.087,Strict Comparison,ecmfa_vn
Action Precision,0.084,0.017,Strict Comparison,ecmfa_vn
Action Recall,0.06,0.008,Strict Comparison,ecmfa_vn
Action F-Measure,0.069,0.01,Strict Comparison,ecmfa_vn
Persona Precision,0.881,0.11,Inclusion Comparison,ecmfa_vn
Persona Recall,0.886,0.112,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.884,0.111,Inclusion Comparison,ecmfa_vn
Entity Precision,0.659,0.058,Inclusion Comparison,ecmfa_vn
Entity Recall,0.433,0.13,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.518,0.1,Inclusion Comparison,ecmfa_vn
Action Precision,0.085,0.015,Inclusion Comparison,ecmfa_vn
Action Recall,0.061,0.008,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.07,0.009,Inclusion Comparison,ecmfa_vn
Persona Precision,0.923,0.078,Relaxed Comparison,ecmfa_vn
Persona Recall,0.928,0.081,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.925,0.079,Relaxed Comparison,ecmfa_vn
Entity Precision,0.568,0.048,Relaxed Comparison,ecmfa_vn
Entity Recall,0.373,0.109,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.446,0.084,Relaxed Comparison,ecmfa_vn
Action Precision,0.101,0.02,Relaxed Comparison,ecmfa_vn
Action Recall,0.073,0.013,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.084,0.014,Relaxed Comparison,ecmfa_vn
