Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.993,0.009,Strict Comparison,simple
Persona Recall,0.993,0.009,Strict Comparison,simple
Persona F-Measure,0.993,0.009,Strict Comparison,simple
Entity Precision,0.218,0.033,Strict Comparison,simple
Entity Recall,0.388,0.065,Strict Comparison,simple
Entity F-Measure,0.278,0.041,Strict Comparison,simple
Action Precision,0.291,0.043,Strict Comparison,simple
Action Recall,0.804,0.048,Strict Comparison,simple
Action F-Measure,0.427,0.052,Strict Comparison,simple
Persona Precision,0.993,0.009,Inclusion Comparison,simple
Persona Recall,0.993,0.009,Inclusion Comparison,simple
Persona F-Measure,0.993,0.009,Inclusion Comparison,simple
Entity Precision,0.221,0.031,Inclusion Comparison,simple
Entity Recall,0.394,0.06,Inclusion Comparison,simple
Entity F-Measure,0.283,0.038,Inclusion Comparison,simple
Action Precision,0.292,0.043,Inclusion Comparison,simple
Action Recall,0.805,0.048,Inclusion Comparison,simple
Action F-Measure,0.428,0.052,Inclusion Comparison,simple
Persona Precision,0.993,0.009,Relaxed Comparison,simple
Persona Recall,0.993,0.009,Relaxed Comparison,simple
Persona F-Measure,0.993,0.009,Relaxed Comparison,simple
Entity Precision,0.298,0.042,Relaxed Comparison,simple
Entity Recall,0.53,0.075,Relaxed Comparison,simple
Entity F-Measure,0.38,0.049,Relaxed Comparison,simple
Action Precision,0.32,0.042,Relaxed Comparison,simple
Action Recall,0.883,0.049,Relaxed Comparison,simple
Action F-Measure,0.469,0.05,Relaxed Comparison,simple
