Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.55,0.26,Strict Comparison,visual_narrator
Persona Recall,0.55,0.26,Strict Comparison,visual_narrator
Persona F-Measure,0.55,0.26,Strict Comparison,visual_narrator
Entity Precision,0.363,0.089,Strict Comparison,visual_narrator
Entity Recall,0.33,0.09,Strict Comparison,visual_narrator
Entity F-Measure,0.345,0.089,Strict Comparison,visual_narrator
Action Precision,0.907,0.036,Strict Comparison,visual_narrator
Action Recall,0.856,0.041,Strict Comparison,visual_narrator
Action F-Measure,0.881,0.035,Strict Comparison,visual_narrator
Persona Precision,0.55,0.26,Inclusion Comparison,visual_narrator
Persona Recall,0.55,0.26,Inclusion Comparison,visual_narrator
Persona F-Measure,0.55,0.26,Inclusion Comparison,visual_narrator
Entity Precision,0.364,0.087,Inclusion Comparison,visual_narrator
Entity Recall,0.331,0.089,Inclusion Comparison,visual_narrator
Entity F-Measure,0.347,0.088,Inclusion Comparison,visual_narrator
Action Precision,0.907,0.036,Inclusion Comparison,visual_narrator
Action Recall,0.856,0.041,Inclusion Comparison,visual_narrator
Action F-Measure,0.881,0.035,Inclusion Comparison,visual_narrator
Persona Precision,0.552,0.26,Relaxed Comparison,visual_narrator
Persona Recall,0.552,0.26,Relaxed Comparison,visual_narrator
Persona F-Measure,0.552,0.26,Relaxed Comparison,visual_narrator
Entity Precision,0.488,0.101,Relaxed Comparison,visual_narrator
Entity Recall,0.443,0.101,Relaxed Comparison,visual_narrator
Entity F-Measure,0.464,0.1,Relaxed Comparison,visual_narrator
Action Precision,0.968,0.026,Relaxed Comparison,visual_narrator
Action Recall,0.913,0.032,Relaxed Comparison,visual_narrator
Action F-Measure,0.94,0.024,Relaxed Comparison,visual_narrator
