Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.96,0,Strict Comparison,chatgpt
Persona Recall,0.991,0,Strict Comparison,chatgpt
Persona F-Measure,0.975,0,Strict Comparison,chatgpt
Entity Precision,0.827,0,Strict Comparison,chatgpt
Entity Recall,0.501,0,Strict Comparison,chatgpt
Entity F-Measure,0.624,0,Strict Comparison,chatgpt
Action Precision,0.736,0,Strict Comparison,chatgpt
Action Recall,0.598,0,Strict Comparison,chatgpt
Action F-Measure,0.66,0,Strict Comparison,chatgpt
Persona Precision,0.96,0,Inclusion Comparison,chatgpt
Persona Recall,0.991,0,Inclusion Comparison,chatgpt
Persona F-Measure,0.975,0,Inclusion Comparison,chatgpt
Entity Precision,0.838,0,Inclusion Comparison,chatgpt
Entity Recall,0.508,0,Inclusion Comparison,chatgpt
Entity F-Measure,0.633,0,Inclusion Comparison,chatgpt
Action Precision,0.766,0,Inclusion Comparison,chatgpt
Action Recall,0.622,0,Inclusion Comparison,chatgpt
Action F-Measure,0.687,0,Inclusion Comparison,chatgpt
Persona Precision,0.96,0,Relaxed Comparison,chatgpt
Persona Recall,0.991,0,Relaxed Comparison,chatgpt
Persona F-Measure,0.975,0,Relaxed Comparison,chatgpt
Entity Precision,0.894,0,Relaxed Comparison,chatgpt
Entity Recall,0.542,0,Relaxed Comparison,chatgpt
Entity F-Measure,0.674,0,Relaxed Comparison,chatgpt
Action Precision,0.791,0,Relaxed Comparison,chatgpt
Action Recall,0.642,0,Relaxed Comparison,chatgpt
Action F-Measure,0.709,0,Relaxed Comparison,chatgpt
