Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.96,0,Strict Comparison,chatgpt
Persona Recall,0.991,0,Strict Comparison,chatgpt
Persona F-Measure,0.975,0,Strict Comparison,chatgpt
Entity Precision,0.37,0,Strict Comparison,chatgpt
Entity Recall,0.563,0,Strict Comparison,chatgpt
Entity F-Measure,0.446,0,Strict Comparison,chatgpt
Action Precision,0.566,0,Strict Comparison,chatgpt
Action Recall,0.774,0,Strict Comparison,chatgpt
Action F-Measure,0.654,0,Strict Comparison,chatgpt
Persona Precision,0.96,0,Inclusion Comparison,chatgpt
Persona Recall,0.991,0,Inclusion Comparison,chatgpt
Persona F-Measure,0.975,0,Inclusion Comparison,chatgpt
Entity Precision,0.373,0,Inclusion Comparison,chatgpt
Entity Recall,0.568,0,Inclusion Comparison,chatgpt
Entity F-Measure,0.45,0,Inclusion Comparison,chatgpt
Action Precision,0.567,0,Inclusion Comparison,chatgpt
Action Recall,0.776,0,Inclusion Comparison,chatgpt
Action F-Measure,0.655,0,Inclusion Comparison,chatgpt
Persona Precision,0.96,0,Relaxed Comparison,chatgpt
Persona Recall,0.991,0,Relaxed Comparison,chatgpt
Persona F-Measure,0.975,0,Relaxed Comparison,chatgpt
Entity Precision,0.398,0,Relaxed Comparison,chatgpt
Entity Recall,0.606,0,Relaxed Comparison,chatgpt
Entity F-Measure,0.48,0,Relaxed Comparison,chatgpt
Action Precision,0.592,0,Relaxed Comparison,chatgpt
Action Recall,0.811,0,Relaxed Comparison,chatgpt
Action F-Measure,0.684,0,Relaxed Comparison,chatgpt
