Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.856,0,Strict Comparison,ecmfa_vn
Persona Recall,0.862,0,Strict Comparison,ecmfa_vn
Persona F-Measure,0.859,0,Strict Comparison,ecmfa_vn
Entity Precision,0.472,0,Strict Comparison,ecmfa_vn
Entity Recall,0.301,0,Strict Comparison,ecmfa_vn
Entity F-Measure,0.368,0,Strict Comparison,ecmfa_vn
Action Precision,0.084,0,Strict Comparison,ecmfa_vn
Action Recall,0.062,0,Strict Comparison,ecmfa_vn
Action F-Measure,0.071,0,Strict Comparison,ecmfa_vn
Persona Precision,0.876,0,Inclusion Comparison,ecmfa_vn
Persona Recall,0.882,0,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.879,0,Inclusion Comparison,ecmfa_vn
Entity Precision,0.639,0,Inclusion Comparison,ecmfa_vn
Entity Recall,0.408,0,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.498,0,Inclusion Comparison,ecmfa_vn
Action Precision,0.085,0,Inclusion Comparison,ecmfa_vn
Action Recall,0.062,0,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.072,0,Inclusion Comparison,ecmfa_vn
Persona Precision,0.92,0,Relaxed Comparison,ecmfa_vn
Persona Recall,0.926,0,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.923,0,Relaxed Comparison,ecmfa_vn
Entity Precision,0.54,0,Relaxed Comparison,ecmfa_vn
Entity Recall,0.344,0,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.42,0,Relaxed Comparison,ecmfa_vn
Action Precision,0.102,0,Relaxed Comparison,ecmfa_vn
Action Recall,0.075,0,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.086,0,Relaxed Comparison,ecmfa_vn
