Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.934,0,Strict Comparison,gpt_3_5_v0125
Persona Recall,0.989,0,Strict Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0,Strict Comparison,gpt_3_5_v0125
Entity Precision,0.257,0,Strict Comparison,gpt_3_5_v0125
Entity Recall,0.613,0,Strict Comparison,gpt_3_5_v0125
Entity F-Measure,0.362,0,Strict Comparison,gpt_3_5_v0125
Action Precision,0.435,0,Strict Comparison,gpt_3_5_v0125
Action Recall,0.826,0,Strict Comparison,gpt_3_5_v0125
Action F-Measure,0.57,0,Strict Comparison,gpt_3_5_v0125
Persona Precision,0.934,0,Inclusion Comparison,gpt_3_5_v0125
Persona Recall,0.989,0,Inclusion Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0,Inclusion Comparison,gpt_3_5_v0125
Entity Precision,0.26,0,Inclusion Comparison,gpt_3_5_v0125
Entity Recall,0.619,0,Inclusion Comparison,gpt_3_5_v0125
Entity F-Measure,0.366,0,Inclusion Comparison,gpt_3_5_v0125
Action Precision,0.436,0,Inclusion Comparison,gpt_3_5_v0125
Action Recall,0.827,0,Inclusion Comparison,gpt_3_5_v0125
Action F-Measure,0.571,0,Inclusion Comparison,gpt_3_5_v0125
Persona Precision,0.934,0,Relaxed Comparison,gpt_3_5_v0125
Persona Recall,0.989,0,Relaxed Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0,Relaxed Comparison,gpt_3_5_v0125
Entity Precision,0.123,0,Relaxed Comparison,gpt_3_5_v0125
Entity Recall,0.04,0,Relaxed Comparison,gpt_3_5_v0125
Entity F-Measure,0.06,0,Relaxed Comparison,gpt_3_5_v0125
Action Precision,0.46,0,Relaxed Comparison,gpt_3_5_v0125
Action Recall,0.872,0,Relaxed Comparison,gpt_3_5_v0125
Action F-Measure,0.602,0,Relaxed Comparison,gpt_3_5_v0125
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.934,0,Relaxed Comparison,gpt_3_5_v0125
Persona Recall,0.989,0,Relaxed Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0,Relaxed Comparison,gpt_3_5_v0125
Entity Precision,0.278,0,Relaxed Comparison,gpt_3_5_v0125
Entity Recall,0.663,0,Relaxed Comparison,gpt_3_5_v0125
Entity F-Measure,0.392,0,Relaxed Comparison,gpt_3_5_v0125
Action Precision,0.46,0,Relaxed Comparison,gpt_3_5_v0125
Action Recall,0.872,0,Relaxed Comparison,gpt_3_5_v0125
Action F-Measure,0.602,0,Relaxed Comparison,gpt_3_5_v0125
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.934,0,Relaxed Comparison,gpt_3_5_v0125
Persona Recall,0.989,0,Relaxed Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0,Relaxed Comparison,gpt_3_5_v0125
Entity Precision,0.278,0,Relaxed Comparison,gpt_3_5_v0125
Entity Recall,0.663,0,Relaxed Comparison,gpt_3_5_v0125
Entity F-Measure,0.392,0,Relaxed Comparison,gpt_3_5_v0125
Action Precision,0.46,0,Relaxed Comparison,gpt_3_5_v0125
Action Recall,0.872,0,Relaxed Comparison,gpt_3_5_v0125
Action F-Measure,0.602,0,Relaxed Comparison,gpt_3_5_v0125
