Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.961,0,Relaxed Comparison,gpt_3_5_v0613_2023
Persona Recall,0.991,0,Relaxed Comparison,gpt_3_5_v0613_2023
Persona F-Measure,0.976,0,Relaxed Comparison,gpt_3_5_v0613_2023
Entity Precision,0.315,0,Relaxed Comparison,gpt_3_5_v0613_2023
Entity Recall,0.618,0,Relaxed Comparison,gpt_3_5_v0613_2023
Entity F-Measure,0.417,0,Relaxed Comparison,gpt_3_5_v0613_2023
Action Precision,0.488,0,Relaxed Comparison,gpt_3_5_v0613_2023
Action Recall,0.828,0,Relaxed Comparison,gpt_3_5_v0613_2023
Action F-Measure,0.614,0,Relaxed Comparison,gpt_3_5_v0613_2023
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.961,0,Relaxed Comparison,gpt_3_5_v0613_2023
Persona Recall,0.991,0,Relaxed Comparison,gpt_3_5_v0613_2023
Persona F-Measure,0.976,0,Relaxed Comparison,gpt_3_5_v0613_2023
Entity Precision,0.315,0,Relaxed Comparison,gpt_3_5_v0613_2023
Entity Recall,0.618,0,Relaxed Comparison,gpt_3_5_v0613_2023
Entity F-Measure,0.417,0,Relaxed Comparison,gpt_3_5_v0613_2023
Action Precision,0.488,0,Relaxed Comparison,gpt_3_5_v0613_2023
Action Recall,0.828,0,Relaxed Comparison,gpt_3_5_v0613_2023
Action F-Measure,0.614,0,Relaxed Comparison,gpt_3_5_v0613_2023
