Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.964,0,Strict Comparison,gpt_3_5_v0613_2024
Persona Recall,0.992,0,Strict Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.978,0,Strict Comparison,gpt_3_5_v0613_2024
Entity Precision,0.827,0,Strict Comparison,gpt_3_5_v0613_2024
Entity Recall,0.496,0,Strict Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.62,0,Strict Comparison,gpt_3_5_v0613_2024
Action Precision,0.737,0,Strict Comparison,gpt_3_5_v0613_2024
Action Recall,0.6,0,Strict Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.661,0,Strict Comparison,gpt_3_5_v0613_2024
Persona Precision,0.964,0,Inclusion Comparison,gpt_3_5_v0613_2024
Persona Recall,0.992,0,Inclusion Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.978,0,Inclusion Comparison,gpt_3_5_v0613_2024
Entity Precision,0.838,0,Inclusion Comparison,gpt_3_5_v0613_2024
Entity Recall,0.503,0,Inclusion Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.629,0,Inclusion Comparison,gpt_3_5_v0613_2024
Action Precision,0.767,0,Inclusion Comparison,gpt_3_5_v0613_2024
Action Recall,0.624,0,Inclusion Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.688,0,Inclusion Comparison,gpt_3_5_v0613_2024
Persona Precision,0.964,0,Relaxed Comparison,gpt_3_5_v0613_2024
Persona Recall,0.992,0,Relaxed Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.978,0,Relaxed Comparison,gpt_3_5_v0613_2024
Entity Precision,0.893,0,Relaxed Comparison,gpt_3_5_v0613_2024
Entity Recall,0.536,0,Relaxed Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.67,0,Relaxed Comparison,gpt_3_5_v0613_2024
Action Precision,0.79,0,Relaxed Comparison,gpt_3_5_v0613_2024
Action Recall,0.644,0,Relaxed Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.709,0,Relaxed Comparison,gpt_3_5_v0613_2024
