Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.986,0,Strict Comparison,gpt_4_turbo_v0125
Persona Recall,0.987,0,Strict Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.986,0,Strict Comparison,gpt_4_turbo_v0125
Entity Precision,0.816,0,Strict Comparison,gpt_4_turbo_v0125
Entity Recall,0.582,0,Strict Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.679,0,Strict Comparison,gpt_4_turbo_v0125
Action Precision,0.836,0,Strict Comparison,gpt_4_turbo_v0125
Action Recall,0.639,0,Strict Comparison,gpt_4_turbo_v0125
Action F-Measure,0.724,0,Strict Comparison,gpt_4_turbo_v0125
Persona Precision,0.986,0,Inclusion Comparison,gpt_4_turbo_v0125
Persona Recall,0.987,0,Inclusion Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.986,0,Inclusion Comparison,gpt_4_turbo_v0125
Entity Precision,0.826,0,Inclusion Comparison,gpt_4_turbo_v0125
Entity Recall,0.589,0,Inclusion Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.688,0,Inclusion Comparison,gpt_4_turbo_v0125
Action Precision,0.838,0,Inclusion Comparison,gpt_4_turbo_v0125
Action Recall,0.64,0,Inclusion Comparison,gpt_4_turbo_v0125
Action F-Measure,0.726,0,Inclusion Comparison,gpt_4_turbo_v0125
Persona Precision,0.986,0,Relaxed Comparison,gpt_4_turbo_v0125
Persona Recall,0.987,0,Relaxed Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.986,0,Relaxed Comparison,gpt_4_turbo_v0125
Entity Precision,0.876,0,Relaxed Comparison,gpt_4_turbo_v0125
Entity Recall,0.625,0,Relaxed Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.73,0,Relaxed Comparison,gpt_4_turbo_v0125
Action Precision,0.906,0,Relaxed Comparison,gpt_4_turbo_v0125
Action Recall,0.692,0,Relaxed Comparison,gpt_4_turbo_v0125
Action F-Measure,0.784,0,Relaxed Comparison,gpt_4_turbo_v0125
