Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.986,0,Strict Comparison,gpt_4_turbo_v0125
Persona Recall,0.987,0,Strict Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.986,0,Strict Comparison,gpt_4_turbo_v0125
Entity Precision,0.284,0,Strict Comparison,gpt_4_turbo_v0125
Entity Recall,0.662,0,Strict Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.398,0,Strict Comparison,gpt_4_turbo_v0125
Action Precision,0.542,0,Strict Comparison,gpt_4_turbo_v0125
Action Recall,0.863,0,Strict Comparison,gpt_4_turbo_v0125
Action F-Measure,0.666,0,Strict Comparison,gpt_4_turbo_v0125
Persona Precision,0.986,0,Inclusion Comparison,gpt_4_turbo_v0125
Persona Recall,0.987,0,Inclusion Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.986,0,Inclusion Comparison,gpt_4_turbo_v0125
Entity Precision,0.288,0,Inclusion Comparison,gpt_4_turbo_v0125
Entity Recall,0.671,0,Inclusion Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.403,0,Inclusion Comparison,gpt_4_turbo_v0125
Action Precision,0.543,0,Inclusion Comparison,gpt_4_turbo_v0125
Action Recall,0.865,0,Inclusion Comparison,gpt_4_turbo_v0125
Action F-Measure,0.667,0,Inclusion Comparison,gpt_4_turbo_v0125
Persona Precision,0.986,0,Relaxed Comparison,gpt_4_turbo_v0125
Persona Recall,0.987,0,Relaxed Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.986,0,Relaxed Comparison,gpt_4_turbo_v0125
Entity Precision,0.306,0,Relaxed Comparison,gpt_4_turbo_v0125
Entity Recall,0.713,0,Relaxed Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.428,0,Relaxed Comparison,gpt_4_turbo_v0125
Action Precision,0.568,0,Relaxed Comparison,gpt_4_turbo_v0125
Action Recall,0.905,0,Relaxed Comparison,gpt_4_turbo_v0125
Action F-Measure,0.698,0,Relaxed Comparison,gpt_4_turbo_v0125
