Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.977,0,Strict Comparison,gpt_4_v0613
Persona Recall,0.985,0,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.981,0,Strict Comparison,gpt_4_v0613
Entity Precision,0.812,0,Strict Comparison,gpt_4_v0613
Entity Recall,0.682,0,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.741,0,Strict Comparison,gpt_4_v0613
Action Precision,0.818,0,Strict Comparison,gpt_4_v0613
Action Recall,0.753,0,Strict Comparison,gpt_4_v0613
Action F-Measure,0.784,0,Strict Comparison,gpt_4_v0613
Persona Precision,0.977,0,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.985,0,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.981,0,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.821,0,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.69,0,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.75,0,Inclusion Comparison,gpt_4_v0613
Action Precision,0.824,0,Inclusion Comparison,gpt_4_v0613
Action Recall,0.759,0,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.79,0,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.977,0,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.985,0,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.981,0,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.86,0,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.723,0,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.786,0,Relaxed Comparison,gpt_4_v0613
Action Precision,0.882,0,Relaxed Comparison,gpt_4_v0613
Action Recall,0.812,0,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.846,0,Relaxed Comparison,gpt_4_v0613
