Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.977,0,Strict Comparison,gpt_4_v0613
Persona Recall,0.985,0,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.981,0,Strict Comparison,gpt_4_v0613
Entity Precision,0.255,0,Strict Comparison,gpt_4_v0613
Entity Recall,0.698,0,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.373,0,Strict Comparison,gpt_4_v0613
Action Precision,0.468,0,Strict Comparison,gpt_4_v0613
Action Recall,0.899,0,Strict Comparison,gpt_4_v0613
Action F-Measure,0.616,0,Strict Comparison,gpt_4_v0613
Persona Precision,0.977,0,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.985,0,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.981,0,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.258,0,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.708,0,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.379,0,Inclusion Comparison,gpt_4_v0613
Action Precision,0.469,0,Inclusion Comparison,gpt_4_v0613
Action Recall,0.901,0,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.617,0,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.977,0,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.985,0,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.981,0,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.271,0,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.744,0,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.398,0,Relaxed Comparison,gpt_4_v0613
Action Precision,0.483,0,Relaxed Comparison,gpt_4_v0613
Action Recall,0.929,0,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.636,0,Relaxed Comparison,gpt_4_v0613
