Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.992,0,Strict Comparison,simple
Persona Recall,0.992,0,Strict Comparison,simple
Persona F-Measure,0.992,0,Strict Comparison,simple
Entity Precision,0.229,0,Strict Comparison,simple
Entity Recall,0.419,0,Strict Comparison,simple
Entity F-Measure,0.296,0,Strict Comparison,simple
Action Precision,0.282,0,Strict Comparison,simple
Action Recall,0.8,0,Strict Comparison,simple
Action F-Measure,0.418,0,Strict Comparison,simple
Persona Precision,0.993,0,Inclusion Comparison,simple
Persona Recall,0.992,0,Inclusion Comparison,simple
Persona F-Measure,0.993,0,Inclusion Comparison,simple
Entity Precision,0.231,0,Inclusion Comparison,simple
Entity Recall,0.424,0,Inclusion Comparison,simple
Entity F-Measure,0.299,0,Inclusion Comparison,simple
Action Precision,0.283,0,Inclusion Comparison,simple
Action Recall,0.801,0,Inclusion Comparison,simple
Action F-Measure,0.418,0,Inclusion Comparison,simple
Persona Precision,0.992,0,Relaxed Comparison,simple
Persona Recall,0.992,0,Relaxed Comparison,simple
Persona F-Measure,0.992,0,Relaxed Comparison,simple
Entity Precision,0.308,0,Relaxed Comparison,simple
Entity Recall,0.565,0,Relaxed Comparison,simple
Entity F-Measure,0.399,0,Relaxed Comparison,simple
Action Precision,0.31,0,Relaxed Comparison,simple
Action Recall,0.879,0,Relaxed Comparison,simple
Action F-Measure,0.459,0,Relaxed Comparison,simple
