Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.992,0,Strict Comparison,simple
Persona Recall,0.992,0,Strict Comparison,simple
Persona F-Measure,0.992,0,Strict Comparison,simple
Entity Precision,0.061,0,Strict Comparison,simple
Entity Recall,0.365,0,Strict Comparison,simple
Entity F-Measure,0.104,0,Strict Comparison,simple
Action Precision,0.152,0,Strict Comparison,simple
Action Recall,0.899,0,Strict Comparison,simple
Action F-Measure,0.26,0,Strict Comparison,simple
Persona Precision,0.993,0,Inclusion Comparison,simple
Persona Recall,0.992,0,Inclusion Comparison,simple
Persona F-Measure,0.993,0,Inclusion Comparison,simple
Entity Precision,0.061,0,Inclusion Comparison,simple
Entity Recall,0.369,0,Inclusion Comparison,simple
Entity F-Measure,0.105,0,Inclusion Comparison,simple
Action Precision,0.152,0,Inclusion Comparison,simple
Action Recall,0.899,0,Inclusion Comparison,simple
Action F-Measure,0.26,0,Inclusion Comparison,simple
Persona Precision,0.992,0,Relaxed Comparison,simple
Persona Recall,0.992,0,Relaxed Comparison,simple
Persona F-Measure,0.992,0,Relaxed Comparison,simple
Entity Precision,0.088,0,Relaxed Comparison,simple
Entity Recall,0.531,0,Relaxed Comparison,simple
Entity F-Measure,0.151,0,Relaxed Comparison,simple
Action Precision,0.161,0,Relaxed Comparison,simple
Action Recall,0.954,0,Relaxed Comparison,simple
Action F-Measure,0.275,0,Relaxed Comparison,simple
