Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.575,0,Strict Comparison,visual_narrator
Persona Recall,0.575,0,Strict Comparison,visual_narrator
Persona F-Measure,0.575,0,Strict Comparison,visual_narrator
Entity Precision,0.438,0,Strict Comparison,visual_narrator
Entity Recall,0.119,0,Strict Comparison,visual_narrator
Entity F-Measure,0.187,0,Strict Comparison,visual_narrator
Action Precision,0.914,0,Strict Comparison,visual_narrator
Action Recall,0.407,0,Strict Comparison,visual_narrator
Action F-Measure,0.564,0,Strict Comparison,visual_narrator
Persona Precision,0.575,0,Inclusion Comparison,visual_narrator
Persona Recall,0.575,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.575,0,Inclusion Comparison,visual_narrator
Entity Precision,0.45,0,Inclusion Comparison,visual_narrator
Entity Recall,0.122,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.192,0,Inclusion Comparison,visual_narrator
Action Precision,0.914,0,Inclusion Comparison,visual_narrator
Action Recall,0.407,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.564,0,Inclusion Comparison,visual_narrator
Persona Precision,0.578,0,Relaxed Comparison,visual_narrator
Persona Recall,0.577,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.578,0,Relaxed Comparison,visual_narrator
Entity Precision,0.595,0,Relaxed Comparison,visual_narrator
Entity Recall,0.161,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.254,0,Relaxed Comparison,visual_narrator
Action Precision,0.981,0,Relaxed Comparison,visual_narrator
Action Recall,0.437,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.605,0,Relaxed Comparison,visual_narrator
