Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.576,0,Strict Comparison,visual_narrator
Persona Recall,0.576,0,Strict Comparison,visual_narrator
Persona F-Measure,0.576,0,Strict Comparison,visual_narrator
Entity Precision,0.379,0,Strict Comparison,visual_narrator
Entity Recall,0.337,0,Strict Comparison,visual_narrator
Entity F-Measure,0.357,0,Strict Comparison,visual_narrator
Action Precision,0.911,0,Strict Comparison,visual_narrator
Action Recall,0.849,0,Strict Comparison,visual_narrator
Action F-Measure,0.879,0,Strict Comparison,visual_narrator
Persona Precision,0.576,0,Inclusion Comparison,visual_narrator
Persona Recall,0.576,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.576,0,Inclusion Comparison,visual_narrator
Entity Precision,0.38,0,Inclusion Comparison,visual_narrator
Entity Recall,0.339,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.358,0,Inclusion Comparison,visual_narrator
Action Precision,0.911,0,Inclusion Comparison,visual_narrator
Action Recall,0.849,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.879,0,Inclusion Comparison,visual_narrator
Persona Precision,0.579,0,Relaxed Comparison,visual_narrator
Persona Recall,0.578,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.578,0,Relaxed Comparison,visual_narrator
Entity Precision,0.517,0,Relaxed Comparison,visual_narrator
Entity Recall,0.46,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.487,0,Relaxed Comparison,visual_narrator
Action Precision,0.976,0,Relaxed Comparison,visual_narrator
Action Recall,0.909,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.942,0,Relaxed Comparison,visual_narrator
