Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.961,0.047,Strict Comparison,chatgpt
Persona Recall,0.99,0.026,Strict Comparison,chatgpt
Persona F-Measure,0.975,0.034,Strict Comparison,chatgpt
Entity Precision,0.381,0.096,Strict Comparison,chatgpt
Entity Recall,0.572,0.12,Strict Comparison,chatgpt
Entity F-Measure,0.454,0.099,Strict Comparison,chatgpt
Action Precision,0.592,0.136,Strict Comparison,chatgpt
Action Recall,0.797,0.119,Strict Comparison,chatgpt
Action F-Measure,0.675,0.12,Strict Comparison,chatgpt
Persona Precision,0.961,0.047,Inclusion Comparison,chatgpt
Persona Recall,0.99,0.026,Inclusion Comparison,chatgpt
Persona F-Measure,0.975,0.034,Inclusion Comparison,chatgpt
Entity Precision,0.384,0.096,Inclusion Comparison,chatgpt
Entity Recall,0.576,0.12,Inclusion Comparison,chatgpt
Entity F-Measure,0.457,0.099,Inclusion Comparison,chatgpt
Action Precision,0.594,0.136,Inclusion Comparison,chatgpt
Action Recall,0.799,0.118,Inclusion Comparison,chatgpt
Action F-Measure,0.677,0.12,Inclusion Comparison,chatgpt
Persona Precision,0.961,0.047,Relaxed Comparison,chatgpt
Persona Recall,0.99,0.026,Relaxed Comparison,chatgpt
Persona F-Measure,0.975,0.034,Relaxed Comparison,chatgpt
Entity Precision,0.411,0.099,Relaxed Comparison,chatgpt
Entity Recall,0.616,0.117,Relaxed Comparison,chatgpt
Entity F-Measure,0.489,0.099,Relaxed Comparison,chatgpt
Action Precision,0.616,0.13,Relaxed Comparison,chatgpt
Action Recall,0.83,0.112,Relaxed Comparison,chatgpt
Action F-Measure,0.703,0.113,Relaxed Comparison,chatgpt
