Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.934,0.056,Strict Comparison,gpt_3_5_v0125
Persona Recall,0.988,0.033,Strict Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0.041,Strict Comparison,gpt_3_5_v0125
Entity Precision,0.264,0.06,Strict Comparison,gpt_3_5_v0125
Entity Recall,0.624,0.124,Strict Comparison,gpt_3_5_v0125
Entity F-Measure,0.369,0.074,Strict Comparison,gpt_3_5_v0125
Action Precision,0.456,0.129,Strict Comparison,gpt_3_5_v0125
Action Recall,0.844,0.108,Strict Comparison,gpt_3_5_v0125
Action F-Measure,0.585,0.112,Strict Comparison,gpt_3_5_v0125
Persona Precision,0.934,0.056,Inclusion Comparison,gpt_3_5_v0125
Persona Recall,0.988,0.033,Inclusion Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0.041,Inclusion Comparison,gpt_3_5_v0125
Entity Precision,0.266,0.06,Inclusion Comparison,gpt_3_5_v0125
Entity Recall,0.629,0.121,Inclusion Comparison,gpt_3_5_v0125
Entity F-Measure,0.372,0.073,Inclusion Comparison,gpt_3_5_v0125
Action Precision,0.457,0.129,Inclusion Comparison,gpt_3_5_v0125
Action Recall,0.845,0.108,Inclusion Comparison,gpt_3_5_v0125
Action F-Measure,0.586,0.112,Inclusion Comparison,gpt_3_5_v0125
Persona Precision,0.934,0.056,Relaxed Comparison,gpt_3_5_v0125
Persona Recall,0.988,0.033,Relaxed Comparison,gpt_3_5_v0125
Persona F-Measure,0.96,0.041,Relaxed Comparison,gpt_3_5_v0125
Entity Precision,0.285,0.061,Relaxed Comparison,gpt_3_5_v0125
Entity Recall,0.674,0.117,Relaxed Comparison,gpt_3_5_v0125
Entity F-Measure,0.398,0.074,Relaxed Comparison,gpt_3_5_v0125
Action Precision,0.48,0.133,Relaxed Comparison,gpt_3_5_v0125
Action Recall,0.887,0.101,Relaxed Comparison,gpt_3_5_v0125
Action F-Measure,0.615,0.113,Relaxed Comparison,gpt_3_5_v0125
