Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.964,0.042,Strict Comparison,gpt_3_5_v0613_2024
Persona Recall,0.991,0.023,Strict Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.977,0.03,Strict Comparison,gpt_3_5_v0613_2024
Entity Precision,0.827,0.046,Strict Comparison,gpt_3_5_v0613_2024
Entity Recall,0.505,0.069,Strict Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.625,0.061,Strict Comparison,gpt_3_5_v0613_2024
Action Precision,0.75,0.082,Strict Comparison,gpt_3_5_v0613_2024
Action Recall,0.615,0.101,Strict Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.674,0.086,Strict Comparison,gpt_3_5_v0613_2024
Persona Precision,0.964,0.042,Inclusion Comparison,gpt_3_5_v0613_2024
Persona Recall,0.991,0.023,Inclusion Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.977,0.03,Inclusion Comparison,gpt_3_5_v0613_2024
Entity Precision,0.838,0.043,Inclusion Comparison,gpt_3_5_v0613_2024
Entity Recall,0.511,0.068,Inclusion Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.633,0.059,Inclusion Comparison,gpt_3_5_v0613_2024
Action Precision,0.778,0.075,Inclusion Comparison,gpt_3_5_v0613_2024
Action Recall,0.639,0.1,Inclusion Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.699,0.083,Inclusion Comparison,gpt_3_5_v0613_2024
Persona Precision,0.964,0.042,Relaxed Comparison,gpt_3_5_v0613_2024
Persona Recall,0.991,0.023,Relaxed Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.977,0.03,Relaxed Comparison,gpt_3_5_v0613_2024
Entity Precision,0.894,0.04,Relaxed Comparison,gpt_3_5_v0613_2024
Entity Recall,0.545,0.065,Relaxed Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.675,0.054,Relaxed Comparison,gpt_3_5_v0613_2024
Action Precision,0.803,0.078,Relaxed Comparison,gpt_3_5_v0613_2024
Action Recall,0.657,0.09,Relaxed Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.72,0.077,Relaxed Comparison,gpt_3_5_v0613_2024
