Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.964,0.042,Strict Comparison,gpt_3_5_v0613_2024
Persona Recall,0.991,0.023,Strict Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.977,0.03,Strict Comparison,gpt_3_5_v0613_2024
Entity Precision,0.301,0.069,Strict Comparison,gpt_3_5_v0613_2024
Entity Recall,0.586,0.125,Strict Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.395,0.081,Strict Comparison,gpt_3_5_v0613_2024
Action Precision,0.493,0.13,Strict Comparison,gpt_3_5_v0613_2024
Action Recall,0.816,0.123,Strict Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.609,0.119,Strict Comparison,gpt_3_5_v0613_2024
Persona Precision,0.964,0.042,Inclusion Comparison,gpt_3_5_v0613_2024
Persona Recall,0.991,0.023,Inclusion Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.977,0.03,Inclusion Comparison,gpt_3_5_v0613_2024
Entity Precision,0.305,0.07,Inclusion Comparison,gpt_3_5_v0613_2024
Entity Recall,0.592,0.124,Inclusion Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.4,0.081,Inclusion Comparison,gpt_3_5_v0613_2024
Action Precision,0.494,0.13,Inclusion Comparison,gpt_3_5_v0613_2024
Action Recall,0.818,0.122,Inclusion Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.611,0.119,Inclusion Comparison,gpt_3_5_v0613_2024
Persona Precision,0.964,0.042,Relaxed Comparison,gpt_3_5_v0613_2024
Persona Recall,0.991,0.023,Relaxed Comparison,gpt_3_5_v0613_2024
Persona F-Measure,0.977,0.03,Relaxed Comparison,gpt_3_5_v0613_2024
Entity Precision,0.326,0.074,Relaxed Comparison,gpt_3_5_v0613_2024
Entity Recall,0.633,0.123,Relaxed Comparison,gpt_3_5_v0613_2024
Entity F-Measure,0.428,0.084,Relaxed Comparison,gpt_3_5_v0613_2024
Action Precision,0.514,0.128,Relaxed Comparison,gpt_3_5_v0613_2024
Action Recall,0.851,0.117,Relaxed Comparison,gpt_3_5_v0613_2024
Action F-Measure,0.635,0.116,Relaxed Comparison,gpt_3_5_v0613_2024
