Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.985,0.039,Strict Comparison,gpt_4_turbo_v0125
Persona Recall,0.986,0.035,Strict Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.985,0.037,Strict Comparison,gpt_4_turbo_v0125
Entity Precision,0.82,0.056,Strict Comparison,gpt_4_turbo_v0125
Entity Recall,0.59,0.087,Strict Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.684,0.074,Strict Comparison,gpt_4_turbo_v0125
Action Precision,0.838,0.055,Strict Comparison,gpt_4_turbo_v0125
Action Recall,0.648,0.089,Strict Comparison,gpt_4_turbo_v0125
Action F-Measure,0.729,0.072,Strict Comparison,gpt_4_turbo_v0125
Persona Precision,0.985,0.039,Inclusion Comparison,gpt_4_turbo_v0125
Persona Recall,0.986,0.035,Inclusion Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.985,0.037,Inclusion Comparison,gpt_4_turbo_v0125
Entity Precision,0.829,0.053,Inclusion Comparison,gpt_4_turbo_v0125
Entity Recall,0.596,0.087,Inclusion Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.692,0.073,Inclusion Comparison,gpt_4_turbo_v0125
Action Precision,0.84,0.055,Inclusion Comparison,gpt_4_turbo_v0125
Action Recall,0.65,0.089,Inclusion Comparison,gpt_4_turbo_v0125
Action F-Measure,0.731,0.071,Inclusion Comparison,gpt_4_turbo_v0125
Persona Precision,0.985,0.039,Relaxed Comparison,gpt_4_turbo_v0125
Persona Recall,0.986,0.035,Relaxed Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.985,0.037,Relaxed Comparison,gpt_4_turbo_v0125
Entity Precision,0.881,0.05,Relaxed Comparison,gpt_4_turbo_v0125
Entity Recall,0.634,0.089,Relaxed Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.736,0.074,Relaxed Comparison,gpt_4_turbo_v0125
Action Precision,0.906,0.048,Relaxed Comparison,gpt_4_turbo_v0125
Action Recall,0.7,0.082,Relaxed Comparison,gpt_4_turbo_v0125
Action F-Measure,0.788,0.063,Relaxed Comparison,gpt_4_turbo_v0125
