Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.985,0.039,Strict Comparison,gpt_4_turbo_v0125
Persona Recall,0.986,0.035,Strict Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.985,0.037,Strict Comparison,gpt_4_turbo_v0125
Entity Precision,0.295,0.076,Strict Comparison,gpt_4_turbo_v0125
Entity Recall,0.671,0.127,Strict Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.408,0.09,Strict Comparison,gpt_4_turbo_v0125
Action Precision,0.561,0.131,Strict Comparison,gpt_4_turbo_v0125
Action Recall,0.872,0.076,Strict Comparison,gpt_4_turbo_v0125
Action F-Measure,0.676,0.103,Strict Comparison,gpt_4_turbo_v0125
Persona Precision,0.985,0.039,Inclusion Comparison,gpt_4_turbo_v0125
Persona Recall,0.986,0.035,Inclusion Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.985,0.037,Inclusion Comparison,gpt_4_turbo_v0125
Entity Precision,0.299,0.076,Inclusion Comparison,gpt_4_turbo_v0125
Entity Recall,0.679,0.125,Inclusion Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.412,0.089,Inclusion Comparison,gpt_4_turbo_v0125
Action Precision,0.562,0.131,Inclusion Comparison,gpt_4_turbo_v0125
Action Recall,0.874,0.076,Inclusion Comparison,gpt_4_turbo_v0125
Action F-Measure,0.678,0.103,Inclusion Comparison,gpt_4_turbo_v0125
Persona Precision,0.985,0.039,Relaxed Comparison,gpt_4_turbo_v0125
Persona Recall,0.986,0.035,Relaxed Comparison,gpt_4_turbo_v0125
Persona F-Measure,0.985,0.037,Relaxed Comparison,gpt_4_turbo_v0125
Entity Precision,0.318,0.076,Relaxed Comparison,gpt_4_turbo_v0125
Entity Recall,0.721,0.116,Relaxed Comparison,gpt_4_turbo_v0125
Entity F-Measure,0.438,0.087,Relaxed Comparison,gpt_4_turbo_v0125
Action Precision,0.586,0.132,Relaxed Comparison,gpt_4_turbo_v0125
Action Recall,0.913,0.072,Relaxed Comparison,gpt_4_turbo_v0125
Action F-Measure,0.708,0.102,Relaxed Comparison,gpt_4_turbo_v0125
