Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.978,0.058,Strict Comparison,gpt_4_v0613
Persona Recall,0.984,0.054,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.981,0.056,Strict Comparison,gpt_4_v0613
Entity Precision,0.814,0.049,Strict Comparison,gpt_4_v0613
Entity Recall,0.692,0.072,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.747,0.061,Strict Comparison,gpt_4_v0613
Action Precision,0.821,0.07,Strict Comparison,gpt_4_v0613
Action Recall,0.76,0.069,Strict Comparison,gpt_4_v0613
Action F-Measure,0.789,0.065,Strict Comparison,gpt_4_v0613
Persona Precision,0.978,0.058,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.984,0.054,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.981,0.056,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.823,0.048,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.699,0.071,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.755,0.06,Inclusion Comparison,gpt_4_v0613
Action Precision,0.826,0.068,Inclusion Comparison,gpt_4_v0613
Action Recall,0.765,0.066,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.794,0.063,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.978,0.058,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.984,0.054,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.981,0.056,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.863,0.047,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.734,0.073,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.792,0.061,Relaxed Comparison,gpt_4_v0613
Action Precision,0.884,0.054,Relaxed Comparison,gpt_4_v0613
Action Recall,0.818,0.052,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.849,0.047,Relaxed Comparison,gpt_4_v0613
