Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.978,0.058,Strict Comparison,gpt_4_v0613
Persona Recall,0.984,0.054,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.981,0.056,Strict Comparison,gpt_4_v0613
Entity Precision,0.262,0.063,Strict Comparison,gpt_4_v0613
Entity Recall,0.706,0.121,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.379,0.077,Strict Comparison,gpt_4_v0613
Action Precision,0.488,0.137,Strict Comparison,gpt_4_v0613
Action Recall,0.905,0.067,Strict Comparison,gpt_4_v0613
Action F-Measure,0.626,0.111,Strict Comparison,gpt_4_v0613
Persona Precision,0.978,0.058,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.984,0.054,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.981,0.056,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.265,0.063,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.715,0.117,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.384,0.075,Inclusion Comparison,gpt_4_v0613
Action Precision,0.489,0.138,Inclusion Comparison,gpt_4_v0613
Action Recall,0.907,0.066,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.627,0.112,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.978,0.058,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.984,0.054,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.981,0.056,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.278,0.064,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.75,0.11,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.403,0.075,Relaxed Comparison,gpt_4_v0613
Action Precision,0.502,0.139,Relaxed Comparison,gpt_4_v0613
Action Recall,0.932,0.062,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.644,0.112,Relaxed Comparison,gpt_4_v0613
