Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.993,0.011,Strict Comparison,simple
Persona Recall,0.993,0.011,Strict Comparison,simple
Persona F-Measure,0.993,0.011,Strict Comparison,simple
Entity Precision,0.061,0.021,Strict Comparison,simple
Entity Recall,0.358,0.098,Strict Comparison,simple
Entity F-Measure,0.103,0.033,Strict Comparison,simple
Action Precision,0.16,0.051,Strict Comparison,simple
Action Recall,0.904,0.055,Strict Comparison,simple
Action F-Measure,0.269,0.069,Strict Comparison,simple
Persona Precision,0.994,0.011,Inclusion Comparison,simple
Persona Recall,0.993,0.011,Inclusion Comparison,simple
Persona F-Measure,0.994,0.011,Inclusion Comparison,simple
Entity Precision,0.062,0.02,Inclusion Comparison,simple
Entity Recall,0.363,0.096,Inclusion Comparison,simple
Entity F-Measure,0.104,0.032,Inclusion Comparison,simple
Action Precision,0.16,0.051,Inclusion Comparison,simple
Action Recall,0.904,0.055,Inclusion Comparison,simple
Action F-Measure,0.269,0.069,Inclusion Comparison,simple
Persona Precision,0.993,0.011,Relaxed Comparison,simple
Persona Recall,0.993,0.011,Relaxed Comparison,simple
Persona F-Measure,0.993,0.011,Relaxed Comparison,simple
Entity Precision,0.089,0.032,Relaxed Comparison,simple
Entity Recall,0.515,0.126,Relaxed Comparison,simple
Entity F-Measure,0.15,0.049,Relaxed Comparison,simple
Action Precision,0.169,0.052,Relaxed Comparison,simple
Action Recall,0.957,0.038,Relaxed Comparison,simple
Action F-Measure,0.285,0.07,Relaxed Comparison,simple
