Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.564,0.33,Strict Comparison,visual_narrator
Persona Recall,0.564,0.331,Strict Comparison,visual_narrator
Persona F-Measure,0.564,0.33,Strict Comparison,visual_narrator
Entity Precision,0.421,0.115,Strict Comparison,visual_narrator
Entity Recall,0.116,0.036,Strict Comparison,visual_narrator
Entity F-Measure,0.181,0.053,Strict Comparison,visual_narrator
Action Precision,0.918,0.052,Strict Comparison,visual_narrator
Action Recall,0.423,0.108,Strict Comparison,visual_narrator
Action F-Measure,0.574,0.1,Strict Comparison,visual_narrator
Persona Precision,0.564,0.33,Inclusion Comparison,visual_narrator
Persona Recall,0.564,0.331,Inclusion Comparison,visual_narrator
Persona F-Measure,0.564,0.33,Inclusion Comparison,visual_narrator
Entity Precision,0.435,0.11,Inclusion Comparison,visual_narrator
Entity Recall,0.12,0.034,Inclusion Comparison,visual_narrator
Entity F-Measure,0.187,0.05,Inclusion Comparison,visual_narrator
Action Precision,0.918,0.052,Inclusion Comparison,visual_narrator
Action Recall,0.423,0.108,Inclusion Comparison,visual_narrator
Action F-Measure,0.574,0.1,Inclusion Comparison,visual_narrator
Persona Precision,0.567,0.332,Relaxed Comparison,visual_narrator
Persona Recall,0.566,0.332,Relaxed Comparison,visual_narrator
Persona F-Measure,0.566,0.332,Relaxed Comparison,visual_narrator
Entity Precision,0.57,0.139,Relaxed Comparison,visual_narrator
Entity Recall,0.158,0.045,Relaxed Comparison,visual_narrator
Entity F-Measure,0.246,0.065,Relaxed Comparison,visual_narrator
Action Precision,0.982,0.021,Relaxed Comparison,visual_narrator
Action Recall,0.451,0.103,Relaxed Comparison,visual_narrator
Action F-Measure,0.613,0.091,Relaxed Comparison,visual_narrator
