Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.891,0.169,Strict Comparison,visual_narrator
Persona Recall,0.891,0.169,Strict Comparison,visual_narrator
Persona F-Measure,0.891,0.169,Strict Comparison,visual_narrator
Entity Precision,0.366,0.117,Strict Comparison,visual_narrator
Entity Recall,0.327,0.109,Strict Comparison,visual_narrator
Entity F-Measure,0.345,0.112,Strict Comparison,visual_narrator
Action Precision,0.915,0.054,Strict Comparison,visual_narrator
Action Recall,0.851,0.07,Strict Comparison,visual_narrator
Action F-Measure,0.881,0.057,Strict Comparison,visual_narrator
Persona Precision,0.898,0.154,Inclusion Comparison,visual_narrator
Persona Recall,0.898,0.154,Inclusion Comparison,visual_narrator
Persona F-Measure,0.898,0.154,Inclusion Comparison,visual_narrator
Entity Precision,0.368,0.117,Inclusion Comparison,visual_narrator
Entity Recall,0.328,0.109,Inclusion Comparison,visual_narrator
Entity F-Measure,0.346,0.112,Inclusion Comparison,visual_narrator
Action Precision,0.915,0.054,Inclusion Comparison,visual_narrator
Action Recall,0.851,0.07,Inclusion Comparison,visual_narrator
Action F-Measure,0.881,0.057,Inclusion Comparison,visual_narrator
Persona Precision,0.896,0.168,Relaxed Comparison,visual_narrator
Persona Recall,0.896,0.169,Relaxed Comparison,visual_narrator
Persona F-Measure,0.896,0.169,Relaxed Comparison,visual_narrator
Entity Precision,0.497,0.145,Relaxed Comparison,visual_narrator
Entity Recall,0.443,0.134,Relaxed Comparison,visual_narrator
Entity F-Measure,0.468,0.138,Relaxed Comparison,visual_narrator
Action Precision,0.977,0.028,Relaxed Comparison,visual_narrator
Action Recall,0.908,0.06,Relaxed Comparison,visual_narrator
Action F-Measure,0.94,0.038,Relaxed Comparison,visual_narrator
